Company Name,Company Ticker,Investibility weighting factor,Total Shares,Market Cap,Market Share Price,Book Value,Sales (Rs Cr),,,,,Average Sales,Net Cash Flow (Rs Cr),,,,,Average NCF,Dividends (Rs Cr),,,,,Average Dividends,Book Value percentage,Sales percentage,Cash flow percentage,Dividend percentage,RAFI Fundamental Value ,Rafi adjustment factor Ci,Investible Rafi fundamental Value,Total issued Share Capital,Company value
,,,,,,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,,,,,,,,,
HINDALCO INDUSTRIES LTD,HINDALCO,0.6535,2219319646,75234.936,339,59637,98759,100184,115183,130542,118144,112562.4,-394,4259,-181,1055,12174,3382.6,205.82,247,243.32,274.8,226.02,239.392,0.014256376,0.022119122,0.036667115,0.001637263,186699.6891,2.481555764,37750.67714,,3.78E+11
HINDUSTAN AERONAUTICS LIMITED,HAL,0.2485,884007005.6,2107.472701,23.84,13986,16758,17950,18520,20008,21438,18934.8,-,2443,-2691,-80,252,-19,621.24,787.5,1074.6,652.12,1120.47,851.186,0.003343389,0.003720791,-0.000205958,0.005821479,31699.24914,15.04135694,1534.243658,,15342436584
HINDUSTAN PETROLEUM CORPORATION LTD,HINDPETRO,0.4843,1498261296,36407.7495,243,34830,177910,187493,219510,275491,269092,225899.2,-1295,712,-784,-230,-247,-368.8,1168.75,3047.32,2598.48,2408.76,1477.84,2140.23,0.0083262,0.044390418,-0.003997763,0.01463758,158391.0874,4.35047729,18547.59633,,1.85E+11
HINDUSTAN UNILEVER LTD,HINDUNILVR,0.381,2581109981,568644.34,2203.1,46830,32186,33162,35545,39310,39783,35997.2,25,-202,21,-28,2595,482.2,3445.33,3670.32,4327.62,4722.12,5398.4,4312.758,0.01119483,0.007073645,0.00522701,0.029496054,132478.8466,0.232973121,16506.86428,,1.65E+11
HINDUSTAN ZINC LTD,HINDZINC,0.0549,4199818299,130824.34,311.5,36641,14181,17273,22082,18561,20073,18434,1,8329,-6416,-1941,1875,369.6,11772,12390.84,3339.36,8433.36,6941.1,8575.332,0.008759124,0.003622381,0.004006435,0.058648887,187592.0653,1.433923269,3414.175588,,34141755882
HONEYWELL AUTOMATION INDIA LTD,HONAUT,0.25,8806685.984,41382.57341,46989.95,2324,2188,2410,2690,3175,3290,2750.6,199,119,80,-165,48,56.2,8.46,8.45,27.5,39.49,63.83,29.546,0.000555558,0.000540508,0.000609204,0.000202073,4768.355171,0.115226164,484.4648854,,4844648854
ICICI BANK LTD,ICICIBANK,0.5254,6780526815,414697.02,611.6,122957,59294,60940,62162,71982,84836,67842.8,17399,15455,8508,-1608,40462,16043.2,2952.2,1426.32,925.44,638.1,0,1188.412,0.029393182,0.013331478,0.173907011,0.008127853,561898.8106,1.354962258,54279.42511,,5.43E+11
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICIGI,0.4811,455212400.5,68067.91024,1495.3,7413,4826,6164,6912,11163,12450,8303,53,-1,398,-190,-369,-21.8,136.35,154.44,146.54,272.74,155.22,173.058,0.001772096,0.001631585,-0.00023631,0.001183588,10877.3964,0.159802121,780.9970612,,7809970612
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI,0.2652,1431476251,69269.1358,483.9,7538,20849,37816,38832,41463,21061,32004.2,2219,2439,-887,2975,-2606,828,1204.5,1059.66,955.21,455.6,117.37,758.468,0.001801978,0.006288999,0.008975454,0.005187356,55634.46853,0.80316389,3076.58611,,30765861098
IDBI BANK LTD,IDBI,0.0529,12064615217,44035.84554,36.5,34836,28058,27805,23046,22102,20854,24373,1645,9424,1049,-12477,9191,1766.4,0,0,0,0,0,0,0.008327634,0.004789427,0.019147635,0,107548.9867,2.442305475,2247.773822,,22477738217
INDIAN OIL CORPORATION LTD,IOC,0.4839,2.06E+11,527609.5481,25.62,73837,346045,355379,421492,528158,484362,427087.2,124,-405,-11,614,502,164.8,3366.16,8932.05,19970.1,8514.73,3902.41,8937.09,0.017650922,0.083924951,0.001786419,0.061123042,411213.3353,0.779389488,119334.1099,,1.19E+12
INDIAN RAILWAY CATERING AND TOURISM CORPORATION,IRCTC,0.326,175205232.7,34072.1616,1944.7,1337,1367,1520,1466,1870,2275,1699.6,263,296,7,-33,137,134,75.6,112.21,46.41,302.82,201.02,147.612,0.000319613,0.000333981,0.001452549,0.001009556,7789.248427,0.228610339,1289.120615,,12891206147
INDRAPRASHTHA GAS LTD,IGL,0.5,147216812.7,23.1130396,1.57,5577,3686,3815,4535,5765,6485,4857.2,223,-328,78,-133,597,87.4,82.44,121.2,137.18,168.4,199.84,141.812,0.001333196,0.000954466,0.000947409,0.000969889,10512.39913,454.8254713,1124.826707,,11248267068
INDUSIND BANK LTD,INDUSINDBK,0.8533,759707691.8,79237.51225,1043,34024,11872,14406,17281,22261,28783,18920.6,-667,8516,-5412,1568,1220,1045,274.32,372.84,432.72,462.14,0,308.404,0.008133523,0.003718001,0.011327717,0.002109254,63221.23592,0.797870026,8983.737625,,89837376246
INFO EDGE(INDIA) LTD,NAUKRI,0.6153,128431422.6,63573.55419,4950,4463,748,888,988,1151,1312,1017.4,11,7,29,138,304,97.8,36.72,55.2,66.56,72.48,73.78,60.948,0.001066891,0.000199925,0.001060144,0.000416839,6859.498047,0.107898609,650.2804148,,6502804148
INFOSYS LTD,INFY,0.8705,3.13E+11,571442.3116,18.28,71615,62441,68484,70522,82675,90791,74982.6,2330,-10072,-2754,-303,-919,-2343.6,5530.49,5884.73,9457.11,9242.4,7467.3,7516.406,0.017119747,0.014734488,-0.025404437,0.051406621,144641.046,0.253115744,44346.94471,,4.43E+11
INTERGLOBE AVIATION LIMITED,INDIGO,0.2515,384797055.7,66966.2316,1740.3,1825,16140,18580,23021,28497,35756,24398.8,559,-652,518,42,-37,86,536.22,1227.66,224.2,191.88,0,435.992,0.000436271,0.004794497,0.000932233,0.002981861,22862.15315,0.341398233,509.8260153,,5098260153
ITC LTD,ITC,0.8669,13427822487,281849.994,209.9,59083,39192,42768,43449,48340,49388,44627.4,266,75,-166,169,334,135.6,6821.12,5761.84,6311.76,7051.52,12550.92,7699.432,0.014123941,0.008769526,0.001469893,0.052658383,192554.3572,0.683180278,84242.53126,,8.42E+11
JSW STEEL LIMITED,JSWSTEEL,0.5542,2614907860,106688.2407,408,37609,41546,55604,71933,84757,73326,65433.2,-111,84,-335,4999,-1615,604.4,224.45,669.37,994.24,1222.24,604.5,742.96,0.008990527,0.012857979,0.006551648,0.005081293,83703.61621,0.784562719,29555.74688,,2.96E+11
JUBILANT FOODWORKS LIMITED,JUBLFOOD,0.5774,130619505.5,40256.9316,3082,1124,2438,2583,3018,3563,3927,3105.8,15,-6,0,42,-51,168,16.49,16.82,33.32,67.2,78.4,42.446,0.000268695,0.000610307,0.001821107,0.000290299,7476.018139,0.1857076,399.9669705,,3999669705
KANSAI NEROLAC PAINTS,KANSAINER,0.2501,535374566.8,30944.64996,578,3792,3767,4053,4658,5424,5280,4636.4,444,-422,6,-34,79,14.6,162.18,162.88,138.78,140.43,171.93,155.24,0.000906487,0.000911078,0.000158263,0.001061726,7593.884518,0.245402179,646.2395725,,6462395725
KOTAK MAHINDRA BANK LTD,KOTAKBANK,0.7397,1992739952,382616.0344,1920.05,67135,20402,22324,25131,29831,33474,26232.4,4696,13989,-1188,6864,32815,11435.2,103.77,98.8,124.02,144.08,0,94.134,0.016048792,0.005154809,0.123956658,0.000643806,364510.1615,0.95267874,58175.82178,,5.82E+11
LARSEN & TOUBRO INFOTECH LIMITED,LTI,0.2569,200000,25.4,1270,6326,5846,6501,7306,9446,10879,7995.6,2,176,-16,52,110,64.8,601.92,281.59,366.96,485.12,486.4,444.398,0.001512246,0.001571179,0.000702427,0.003039351,17063.00848,671.7719875,1332.620962,,13326209624
LARSEN & TOUBRO LIMITED,LT,0.7839,1404254155,205316,1462.1,72328,101122,109312,119683,135220,145452,122157.8,-613,-245,3254,-338,4658,1343.2,1712.4,1329.02,2211,2493.4,2482.74,2045.712,0.017290191,0.02400467,0.014560181,0.013991147,174615.4746,0.850471832,78734.11751,,7.87E+11
LUPIN LTD,LUPIN,0.5283,451579388.4,46736.2088,1034.95,12717,14256,17367,15797,14665,15375,15492,-1315,2019,729,-872,1685,449.2,339.15,332.41,225.9,224.59,271.69,278.748,0.003040031,0.003044262,0.004869292,0.001906429,32150.03523,0.687904219,4111.989506,,41119895057
