Date,Close
08-03-2016 15:30,24659.23
09-03-2016 15:30,24793.96
10-03-2016 15:30,24623.34
11-03-2016 15:30,24717.99
14-03-2016 15:30,24804.28
15-03-2016 15:30,24551.17
16-03-2016 15:30,24682.48
17-03-2016 15:30,24677.37
18-03-2016 15:30,24952.74
21-03-2016 15:30,25285.37
22-03-2016 15:30,25330.49
23-03-2016 15:30,25337.56
28-03-2016 15:30,24966.4
29-03-2016 15:30,24900.46
30-03-2016 15:30,25338.58
31-03-2016 15:30,25341.86
01-04-2016 15:30,25269.64
04-04-2016 15:30,25399.65
05-04-2016 15:30,24883.59
06-04-2016 15:30,24900.63
07-04-2016 15:30,24685.42
08-04-2016 15:30,24673.84
11-04-2016 15:30,25022.16
12-04-2016 15:30,25145.59
13-04-2016 15:30,25626.75
18-04-2016 15:30,25816.36
20-04-2016 15:30,25844.18
21-04-2016 15:30,25880.38
22-04-2016 15:30,25838.14
25-04-2016 15:30,25678.93
26-04-2016 15:30,26007.3
27-04-2016 15:30,26064.12
28-04-2016 15:30,25603.1
29-04-2016 15:30,25606.62
02-05-2016 15:30,25436.97
03-05-2016 15:30,25229.7
04-05-2016 15:30,25101.73
05-05-2016 15:30,25262.21
06-05-2016 15:30,25228.5
09-05-2016 15:30,25688.86
10-05-2016 15:30,25772.53
11-05-2016 15:30,25597.02
12-05-2016 15:30,25790.22
13-05-2016 15:30,25489.57
16-05-2016 15:30,25653.23
17-05-2016 15:30,25773.61
18-05-2016 15:30,25704.61
19-05-2016 15:30,25399.72
20-05-2016 15:30,25301.9
23-05-2016 15:30,25230.36
24-05-2016 15:30,25305.47
25-05-2016 15:30,25881.17
26-05-2016 15:30,26366.68
27-05-2016 15:30,26653.6
30-05-2016 15:30,26725.6
31-05-2016 15:30,26667.96
01-06-2016 15:30,26713.93
02-06-2016 15:30,26843.14
03-06-2016 15:30,26843.03
06-06-2016 15:30,26777.45
07-06-2016 15:30,27009.67
08-06-2016 15:30,27020.66
09-06-2016 15:30,26763.46
10-06-2016 15:30,26635.75
13-06-2016 15:30,26396.77
14-06-2016 15:30,26395.71
15-06-2016 15:30,26726.34
16-06-2016 15:30,26525.46
17-06-2016 15:30,26625.91
20-06-2016 15:30,26866.92
21-06-2016 15:30,26812.78
22-06-2016 15:30,26765.65
23-06-2016 15:30,27002.22
24-06-2016 15:30,26397.71
27-06-2016 15:30,26402.96
28-06-2016 15:30,26524.55
29-06-2016 15:30,26740.39
30-06-2016 15:30,26999.72
01-07-2016 15:30,27144.91
04-07-2016 15:30,27278.76
05-07-2016 15:30,27166.87
07-07-2016 15:30,27201.49
08-07-2016 15:30,27126.9
11-07-2016 15:30,27626.69
12-07-2016 15:30,27808.14
13-07-2016 15:30,27815.18
14-07-2016 15:30,27942.11
15-07-2016 15:30,27836.5
18-07-2016 15:30,27746.66
19-07-2016 15:30,27787.62
20-07-2016 15:30,27915.89
21-07-2016 15:30,27710.52
22-07-2016 15:30,27803.24
25-07-2016 15:30,28095.34
26-07-2016 15:30,27976.52
27-07-2016 15:30,28024.33
28-07-2016 15:30,28208.62
29-07-2016 15:30,28051.86
01-08-2016 15:30,28003.12
02-08-2016 15:30,27981.71
03-08-2016 15:30,27697.51
04-08-2016 15:30,27714.37
05-08-2016 15:30,28078.35
08-08-2016 15:30,28182.57
09-08-2016 15:30,28085.16
10-08-2016 15:30,27774.88
11-08-2016 15:30,27859.6
